fold,générateur,ratio,N,model,RMSE
0,TVAE,5,2,LightGBM,7.33127376752057
0,TVAE,5,3,RF,6.204267012682476
0,TVAE,5,3,XGBoost,6.897071377793699
0,TVAE,5,3,CatBoost,6.668304220508143
0,TVAE,5,3,LightGBM,5.706073929767342
0,TVAE,5,4,RF,6.253969184137186
0,TVAE,5,4,XGBoost,6.36407391747683
0,TVAE,5,4,CatBoost,6.101251483040137
0,TVAE,5,4,LightGBM,5.7283142233322595
0,TVAE,5,5,RF,6.2198981850744195
0,TVAE,5,5,XGBoost,6.3317844940834505
0,TVAE,5,5,CatBoost,5.922693203543785
0,TVAE,5,5,LightGBM,5.8529902088918515
0,TVAE,5,6,RF,6.210683150170216
0,TVAE,5,6,XGBoost,6.36272346878989
0,TVAE,5,6,CatBoost,5.939981828188539
0,TVAE,5,6,LightGBM,5.8529902088918515
0,TVAE,5,7,RF,6.187029161287054
0,TVAE,5,7,XGBoost,6.235164513876444
0,TVAE,5,7,CatBoost,5.951630137780341
0,TVAE,5,7,LightGBM,5.759504808178374
0,TVAE,5,8,RF,6.060044814712526
0,TVAE,5,8,XGBoost,6.221023539771234
0,TVAE,5,8,CatBoost,5.8085562636377
0,TVAE,5,8,LightGBM,5.901791672596646
0,TVAE,5,9,RF,6.0960543335168556
0,TVAE,5,9,XGBoost,6.2589779130765715
0,TVAE,5,9,CatBoost,5.895256098893106
0,TVAE,5,9,LightGBM,5.769089588260574
0,TVAE,5,10,RF,6.093574298637092
0,TVAE,5,10,XGBoost,6.186264924565477
0,TVAE,5,10,CatBoost,5.615635767440722
0,TVAE,5,10,LightGBM,5.875009618475516
0,TVAE,5,12,RF,6.169642864950183
