Ref,Temp,Rhum,Wdir,Wspd,Pres,Distance,Tx_power,Tx_height,Freq,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment,E_field,Tx_antenna_height,Rx_antenna_height
cotonou_1373,31.8,56.0,180.0,11.2,1007.4,4207.054458010579,21238.37353,109.0,570.0,0.0001543177685267,1.0213575982752148,14.463256359100342,325.02093615775425,1.2872771341670324,0,-1.0,3996.280186567162,0,2,5,6,1,71.8,100.0,10
cotonou_1393,31.0,59.0,170.0,13.0,1007.0,4719.341837879194,21238.37353,109.0,570.0,-9.40677246290784e-05,1.031587964732514,13.193845987319946,320.0865596074884,1.1629872488575508,1,-1.0,-1.0,0,0,1,7,1,70.2,100.0,10
cotonou_1403,31.0,59.0,170.0,13.0,1007.0,4989.481101964698,21238.37353,109.0,570.0,-2.921670209696053e-05,0.9771289636328206,13.484379053115845,321.14487558330086,1.0967019363043278,0,-1.0,4889.491500722919,0,2,5,9,1,66.1,100.0,10
cotonou_1173,30.0,62.0,160.0,9.4,1007.0,5199.17750758549,21238.37353,109.0,570.0,-3.084941808335866e-05,1.03080864777242,13.28050684928894,318.2522796403097,1.054725187104418,0,4646.960257280818,4688.637030888718,1,11,1,14,1,58.65,100.0,10
cotonou_1162,30.0,62.0,160.0,9.4,1007.0,5131.653232177958,21238.37353,167.0,570.0,-0.0021036343333824,3.156967994670054,14.36549472808838,151.94274824258622,1.703687870295024,1,-1.0,-1.0,0,0,2,10,1,63.6,150.0,10
cotonou_183,30.0,62.0,160.0,9.4,1007.0,4918.994532101519,21238.37353,167.0,570.0,-0.00223278899149,3.21092522337628,13.950438022613524,154.0938443457601,1.782125556983627,1,-1.0,-1.0,0,0,0,4,1,72.6,150.0,10
cotonou_1351,31.0,63.0,200.0,16.6,1007.0,4142.528376106587,21238.37353,109.0,570.0,-0.0003983184395178,1.1722080208465755,11.950038433074951,316.5361622792976,1.3420635207202247,1,-1.0,-1.0,0,0,0,6,1,81.4,100.0,10
cotonou_1332,31.0,63.0,200.0,16.6,1007.0,4201.353032496167,21238.37353,109.0,570.0,-0.0004540247219054,1.154596718613866,11.761256575584412,312.35538308791985,1.3258526640938084,1,-1.0,-1.0,0,0,0,0,1,85.6,100.0,10
cotonou_1352,31.0,63.0,200.0,16.6,1007.0,4264.614873860844,21238.37353,109.0,570.0,-0.0004429704435281,1.1596831437930206,11.782398343086244,312.87095233956984,1.3059077660709264,1,-1.0,-1.0,0,0,2,6,1,81.4,100.0,10
cotonou_1343,30.0,70.0,210.0,16.6,1007.0,4519.3038109311565,21238.37353,109.0,570.0,-0.0003646885146623,1.1463414813598285,11.861634731292725,311.1925901690746,1.2313315790733117,1,-1.0,-1.0,0,0,0,1,1,86.0,100.0,10
cotonou_1362,30.0,70.0,210.0,16.6,1007.0,4577.406956623416,21238.37353,109.0,570.0,-0.0003255359880803,1.153889918497598,12.024370193481444,312.1267815920467,1.2136703803211055,1,-1.0,-1.0,0,0,0,2,1,78.2,100.0,10
cotonou_1342,30.0,70.0,210.0,16.6,1007.0,4609.156184536279,21238.37353,109.0,570.0,-0.0003342642743363,1.192578498426483,12.065630435943604,306.29168780385936,1.2048000619126065,1,-1.0,-1.0,0,0,2,7,1,69.4,100.0,10
cotonou_1323,30.0,70.0,210.0,16.6,1007.0,4344.135720394242,21238.37353,109.0,570.0,-0.0004642482399121,1.2085287354715974,11.518225193023682,305.1460842191564,1.2854932332322344,1,-1.0,-1.0,0,0,0,10,1,66.4,100.0,10
